"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2022","3,209.00","3,196.00","3,196.00","3,196.00","-","0.38%"
"Jun 05, 2022","3,197.00","3,162.50","3,162.50","3,162.50","-","1.01%"
"May 29, 2022","3,165.00","3,179.50","3,179.50","3,179.50","-","-1.06%"
"May 22, 2022","3,199.00","3,210.00","3,210.00","3,210.00","-","0.42%"
"May 15, 2022","3,185.50","3,188.00","3,188.00","3,188.00","-","0.20%"
"May 08, 2022","3,179.00","3,211.50","3,211.50","3,211.50","-","-0.41%"
"May 01, 2022","3,192.00","3,192.00","3,192.00","3,192.00","-","-1.13%"
"Apr 24, 2022","3,228.50","3,220.00","3,220.00","3,220.00","-","-1.33%"
"Apr 17, 2022","3,272.00","3,148.00","3,148.00","3,148.00","-","4.10%"
"Apr 10, 2022","3,143.00","3,194.00","3,194.00","3,194.00","-","-1.72%"
"Apr 03, 2022","3,198.00","3,163.50","3,163.50","3,163.50","-","0.71%"
"Mar 27, 2022","3,175.50","2,615.00","2,615.00","2,615.00","-","28.72%"
"Mar 20, 2022","2,467.00","2,031.00","2,031.00","2,031.00","-","21.47%"
"Mar 13, 2022","2,031.00","2,031.00","2,031.00","2,031.00","-","0.00%"
"Mar 06, 2022","2,031.00","2,000.00","2,000.00","2,000.00","-","1.55%"
"Feb 27, 2022","2,000.00","2,000.00","2,000.00","2,000.00","-","0.00%"
"Feb 20, 2022","2,000.00","2,000.00","2,000.00","2,000.00","-","0.00%"
"Feb 13, 2022","2,000.00","2,000.00","2,000.00","2,000.00","-","0.00%"
"Feb 06, 2022","2,000.00","2,000.00","2,000.00","2,000.00","-","0.00%"
"Jan 30, 2022","2,000.00","1,957.00","1,957.00","1,957.00","-","2.20%"
"Jan 23, 2022","1,957.00","1,957.00","1,957.00","1,957.00","-","0.00%"
"Jan 16, 2022","1,957.00","1,990.00","1,990.00","1,990.00","0.01K","1.66%"
"Jan 09, 2022","1,925.00","1,900.00","1,950.00","1,900.00","0.02K","6.97%"
"Jan 02, 2022","1,799.50","1,664.00","1,664.00","1,664.00","-","8.14%"
"Dec 26, 2021","1,664.00","1,664.00","1,664.00","1,664.00","-","0.00%"
"Dec 19, 2021","1,664.00","2,404.50","2,404.50","2,404.50","-","-30.33%"
"Dec 12, 2021","2,388.50","2,389.50","2,389.50","2,389.50","-","-0.08%"
"Dec 05, 2021","2,390.50","2,371.00","2,371.00","2,371.00","-","0.63%"
"Nov 28, 2021","2,375.50","2,375.50","2,375.50","2,375.50","-","-0.34%"
"Nov 21, 2021","2,383.50","2,364.00","2,364.00","2,364.00","-","0.78%"
"Nov 14, 2021","2,365.00","2,366.00","2,366.00","2,366.00","-","0.79%"
"Nov 07, 2021","2,346.50","2,343.50","2,343.50","2,343.50","-","0.66%"
"Oct 31, 2021","2,331.00","2,331.50","2,331.50","2,331.50","-","0.26%"
"Oct 24, 2021","2,325.00","2,327.00","2,327.00","2,327.00","-","-0.70%"
"Oct 17, 2021","2,341.50","2,332.00","2,332.00","2,332.00","-","-0.72%"
"Oct 10, 2021","2,358.50","2,315.50","2,315.50","2,315.50","-","3.24%"
"Oct 03, 2021","2,284.50","2,285.00","2,285.00","2,285.00","-","0.73%"
"Sep 26, 2021","2,268.00","2,239.50","2,239.50","2,239.50","-","1.77%"
"Sep 19, 2021","2,228.50","2,196.00","2,196.00","2,196.00","-","1.87%"
"Sep 12, 2021","2,187.50","2,160.00","2,160.00","2,160.00","-","0.92%"
"Sep 05, 2021","2,167.50","2,176.00","2,176.00","2,176.00","-","0.32%"
"Aug 29, 2021","2,160.50","2,160.50","2,160.50","2,160.50","-","-0.94%"
"Aug 22, 2021","2,181.00","2,181.00","2,181.00","2,181.00","-","0.65%"
"Aug 15, 2021","2,167.00","2,167.00","2,167.00","2,167.00","-","2.43%"
"Aug 08, 2021","2,115.50","2,115.50","2,115.50","2,115.50","-","0.83%"
"Aug 01, 2021","2,098.00","2,098.00","2,098.00","2,098.00","-","3.02%"
"Jul 25, 2021","2,036.50","2,036.50","2,036.50","2,036.50","-","5.25%"
"Jul 18, 2021","1,935.00","1,935.00","1,935.00","1,935.00","-","3.04%"
"Jul 11, 2021","1,878.00","1,878.00","1,878.00","1,878.00","-","0.89%"
"Jul 04, 2021","1,861.50","1,861.50","1,861.50","1,861.50","-","-0.11%"
"Jun 27, 2021","1,863.50","1,863.50","1,863.50","1,863.50","-","-1.32%"
"Jun 20, 2021","1,888.50","1,888.50","1,888.50","1,888.50","-","1.02%"
"Jun 13, 2021","1,869.50","1,869.50","1,869.50","1,869.50","-","-1.16%"
"Jun 06, 2021","1,891.50","1,891.50","1,891.50","1,891.50","-","-1.30%"
"May 30, 2021","1,916.50","1,916.50","1,916.50","1,916.50","-","-0.96%"
"May 23, 2021","1,935.00","1,935.00","1,935.00","1,935.00","-","-0.44%"
"May 16, 2021","1,943.50","1,943.50","1,943.50","1,943.50","-","0.18%"
"May 09, 2021","1,940.00","1,940.00","1,940.00","1,940.00","-","-0.89%"
"May 02, 2021","1,957.50","1,957.50","1,957.50","1,957.50","0.01K","-1.06%"
"Apr 25, 2021","1,978.50","1,978.50","1,978.50","1,978.50","-","-3.96%"
"Apr 18, 2021","2,060.00","2,010.00","2,060.00","1,990.00","0.03K","4.65%"
"Apr 11, 2021","1,968.50","1,950.00","1,996.50","1,950.00","0.03K","14.05%"
"Apr 04, 2021","1,726.00","1,665.50","1,665.50","1,665.50","0.01K","4.89%"
"Mar 28, 2021","1,645.50","1,605.00","1,645.00","1,605.00","0.06K","0.67%"
"Mar 21, 2021","1,634.50","1,634.50","1,634.50","1,634.50","-","3.45%"
"Mar 14, 2021","1,580.00","1,580.00","1,580.00","1,580.00","-","0.64%"
"Mar 07, 2021","1,570.00","1,570.00","1,570.00","1,570.00","-","-0.95%"
"Feb 28, 2021","1,585.00","1,585.00","1,585.00","1,585.00","-","-3.94%"
"Feb 21, 2021","1,650.00","1,650.00","1,650.00","1,650.00","-","-0.42%"
"Feb 14, 2021","1,657.00","1,657.00","1,657.00","1,657.00","-","0.00%"
"Feb 07, 2021","1,657.00","1,657.00","1,657.00","1,657.00","-","0.00%"
"Jan 31, 2021","1,657.00","1,657.00","1,657.00","1,657.00","-","-0.66%"
"Jan 24, 2021","1,668.00","1,668.00","1,668.00","1,668.00","-","0.00%"
"Jan 17, 2021","1,668.00","1,600.00","1,610.00","1,600.00","0.02K","6.21%"
