"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2022","47,250","47,040","47,570","46,300","0.36K","0.60%"
"Jun 05, 2022","46,970","46,330","47,380","45,000","1.16K","1.62%"
"May 29, 2022","46,220","48,500","49,500","43,890","4.21K","-4.84%"
"May 22, 2022","48,570","47,810","49,070","47,290","1.77K","0.56%"
"May 15, 2022","48,300","49,190","50,330","47,480","5.86K","-0.70%"
"May 08, 2022","48,640","46,750","49,270","46,510","5.18K","4.22%"
"May 01, 2022","46,670","45,500","47,060","45,390","4.53K","2.17%"
"Apr 24, 2022","45,680","44,120","46,000","43,690","1.63K","2.91%"
"Apr 17, 2022","44,390","44,590","44,970","43,820","6.02K","0.77%"
"Apr 10, 2022","44,050","43,250","45,000","42,630","6.32K","1.85%"
"Apr 03, 2022","43,250","42,250","44,100","42,100","9.34K","2.61%"
"Mar 27, 2022","42,150","42,220","43,100","41,270","3.37K","1.66%"
"Mar 20, 2022","41,460","39,480","41,500","39,480","8.53K","5.74%"
"Mar 13, 2022","39,210","38,200","39,280","37,580","6.93K","2.22%"
"Mar 06, 2022","38,360","37,000","38,400","36,650","6.47K","3.15%"
"Feb 27, 2022","37,190","36,100","37,540","35,710","4.13K","2.34%"
"Feb 20, 2022","36,340","37,650","37,820","36,090","7.54K","-3.66%"
"Feb 13, 2022","37,720","38,330","38,630","37,430","8.32K","-1.98%"
"Feb 06, 2022","38,480","37,320","38,550","37,260","7.36K","2.45%"
"Jan 30, 2022","37,560","37,000","37,990","36,850","7.80K","2.99%"
"Jan 23, 2022","36,470","36,140","36,730","36,040","2.47K","1.14%"
"Jan 16, 2022","36,060","35,680","37,460","35,370","12.44K","1.75%"
"Jan 09, 2022","35,440","35,680","35,800","34,460","11.57K","0.11%"
"Jan 02, 2022","35,400","34,300","36,390","34,020","20.61K","4.39%"
"Dec 26, 2021","33,910","32,710","33,950","32,520","1.71K","3.86%"
"Dec 19, 2021","32,650","31,870","32,680","31,450","7.22K","2.16%"
"Dec 12, 2021","31,960","31,410","32,410","31,220","6.31K","2.40%"
"Dec 05, 2021","31,210","30,930","31,690","30,930","6.33K","0.77%"
"Nov 28, 2021","30,970","31,510","31,520","30,070","7.12K","-1.40%"
"Nov 21, 2021","31,410","31,660","32,600","31,300","4.15K","-1.23%"
"Nov 14, 2021","31,800","32,300","32,310","30,780","7.03K","-1.73%"
"Nov 07, 2021","32,360","32,500","33,020","31,710","7.36K","-1.01%"
"Oct 31, 2021","32,690","32,930","33,850","32,510","6.71K","-1.06%"
"Oct 24, 2021","33,040","32,620","33,400","31,650","1.21K","4.89%"
"Oct 17, 2021","31,500","30,890","31,960","30,140","4.36K","3.18%"
"Oct 10, 2021","30,530","30,900","31,340","29,450","5.10K","-1.61%"
"Oct 03, 2021","31,030","28,820","31,500","27,870","9.50K","7.71%"
"Sep 26, 2021","28,810","26,990","29,090","26,870","6.21K","8.59%"
"Sep 19, 2021","26,530","25,550","26,630","25,060","2.65K","3.63%"
"Sep 12, 2021","25,600","25,650","25,790","25,460","0.96K","-0.54%"
"Sep 05, 2021","25,740","25,720","25,970","25,210","1.38K","-0.35%"
"Aug 29, 2021","25,830","26,100","26,670","25,170","1.68K","-2.89%"
"Aug 22, 2021","26,600","25,820","27,430","25,340","2.84K","3.22%"
