"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2022","17,730.00","17,730.00","17,730.00","17,730.00","-","0.00%"
"Jun 05, 2022","17,730.00","17,980.00","17,980.00","17,480.00","0.00K","1.31%"
"May 29, 2022","17,500.00","17,600.00","17,600.00","17,600.00","0.00K","-1.97%"
"May 22, 2022","17,852.00","17,800.00","17,852.00","17,800.00","0.00K","0.29%"
"May 15, 2022","17,800.00","17,351.00","17,800.00","17,351.00","0.01K","2.30%"
"May 08, 2022","17,400.00","17,370.00","17,900.00","17,350.00","0.01K","1.09%"
"May 01, 2022","17,212.00","17,498.00","17,498.00","17,132.00","0.01K","5.16%"
"Apr 24, 2022","16,367.00","16,301.00","16,400.00","16,300.00","0.01K","-3.06%"
"Apr 17, 2022","16,883.00","17,185.00","17,299.00","16,506.00","0.07K","-1.64%"
"Apr 10, 2022","17,164.00","17,390.00","17,499.00","17,150.00","0.04K","-0.30%"
"Apr 03, 2022","17,215.00","17,820.00","17,850.00","17,000.00","0.08K","-3.14%"
"Mar 27, 2022","17,773.00","17,780.00","17,780.00","17,750.00","0.00K","5.38%"
"Mar 20, 2022","16,865.00","16,840.00","17,199.00","16,250.00","0.05K","0.14%"
"Mar 13, 2022","16,841.00","17,101.00","17,290.00","16,750.00","0.02K","-0.75%"
"Mar 06, 2022","16,968.00","16,800.00","17,400.00","16,722.00","0.05K","0.99%"
"Feb 27, 2022","16,802.00","16,712.00","16,949.00","16,712.00","0.01K","3.88%"
"Feb 20, 2022","16,175.00","16,378.00","16,495.00","16,150.00","0.02K","-0.58%"
"Feb 13, 2022","16,269.00","16,168.00","16,419.00","16,100.00","0.04K","-1.27%"
"Feb 06, 2022","16,479.00","17,050.00","17,050.00","16,412.00","0.02K","-1.57%"
"Jan 30, 2022","16,741.00","17,350.00","17,500.00","16,600.00","0.04K","3.02%"
"Jan 23, 2022","16,250.00","15,400.00","16,250.00","15,400.00","0.05K","2.28%"
"Jan 16, 2022","15,888.00","16,150.00","16,599.00","15,810.00","0.12K","-2.26%"
"Jan 09, 2022","16,255.00","16,190.00","16,579.00","15,900.00","0.11K","0.29%"
"Jan 02, 2022","16,208.00","17,000.00","17,000.00","15,903.00","0.13K","-1.35%"
"Dec 26, 2021","16,430.00","16,001.00","16,518.00","15,800.00","0.01K","1.24%"
"Dec 19, 2021","16,229.00","17,000.00","17,042.00","16,001.00","0.06K","-6.01%"
"Dec 12, 2021","17,266.00","17,965.00","18,000.00","17,199.00","0.09K","-2.55%"
"Dec 05, 2021","17,718.00","18,200.00","18,494.00","17,698.00","0.13K","-2.35%"
"Nov 28, 2021","18,144.00","19,100.00","19,100.00","18,011.00","0.10K","-6.87%"
"Nov 21, 2021","19,483.00","18,688.00","20,185.00","18,500.00","0.11K","6.44%"
"Nov 14, 2021","18,305.00","18,150.00","18,500.00","18,002.00","0.13K","1.63%"
"Nov 07, 2021","18,012.00","18,050.00","18,050.00","17,761.00","0.18K","0.20%"
"Oct 31, 2021","17,976.00","17,800.00","17,995.00","17,700.00","0.11K","5.59%"
"Oct 24, 2021","17,025.00","16,990.00","17,050.00","16,990.00","0.00K","1.15%"
"Oct 17, 2021","16,832.00","17,020.00","17,550.00","16,700.00","0.17K","-0.73%"
"Oct 10, 2021","16,955.00","17,040.00","17,085.00","16,900.00","0.09K","0.03%"
"Oct 03, 2021","16,950.00","17,100.00","17,148.00","16,661.00","0.12K","-0.58%"
"Sep 26, 2021","17,049.00","16,875.00","17,100.00","16,875.00","0.04K","2.91%"
"Sep 19, 2021","16,567.00","17,251.00","17,300.00","16,300.00","0.13K","-5.54%"
"Sep 12, 2021","17,538.00","17,200.00","17,650.00","16,950.00","0.16K","1.65%"
"Sep 05, 2021","17,254.00","17,630.00","17,921.00","17,162.00","0.13K","-2.75%"
"Aug 29, 2021","17,742.00","18,300.00","18,500.00","17,630.00","0.08K","-2.65%"
"Aug 22, 2021","18,225.00","18,040.00","18,395.00","17,901.00","0.06K","1.00%"
"Aug 15, 2021","18,045.00","18,090.00","18,390.00","18,000.00","0.13K","-0.66%"
"Aug 08, 2021","18,165.00","17,850.00","18,250.00","17,780.00","0.25K","1.60%"
"Aug 01, 2021","17,879.00","17,350.00","17,910.00","17,255.00","0.13K","3.35%"
"Jul 25, 2021","17,300.00","17,480.00","17,480.00","16,720.00","0.05K","-0.78%"
"Jul 18, 2021","17,436.00","17,050.00","17,880.00","16,940.00","0.19K","2.51%"
"Jul 11, 2021","17,009.00","16,900.00","17,080.00","16,752.00","0.24K","0.72%"
"Jul 04, 2021","16,887.00","17,200.00","17,200.00","16,625.00","0.15K","0.17%"
"Jun 27, 2021","16,859.00","16,850.00","17,088.00","16,500.00","0.16K","1.24%"
"Jun 20, 2021","16,653.00","16,780.00","16,999.00","15,990.00","0.17K","-0.68%"
"Jun 13, 2021","16,767.00","17,325.00","17,325.00","16,656.00","0.17K","-2.56%"
"Jun 06, 2021","17,207.00","17,248.00","17,335.00","16,920.00","0.22K","0.29%"
"May 30, 2021","17,157.00","16,900.00","17,290.00","16,600.00","0.15K","1.29%"
"May 23, 2021","16,939.00","16,995.00","17,000.00","16,651.00","0.06K","0.18%"
"May 16, 2021","16,908.00","17,550.00","17,728.00","16,500.00","0.28K","-3.83%"
"May 09, 2021","17,582.00","17,200.00","17,789.00","17,152.00","0.14K","2.34%"
"May 02, 2021","17,180.00","16,899.00","17,549.00","16,715.00","0.25K","5.23%"
"Apr 25, 2021","16,326.00","16,100.00","16,350.00","15,550.00","0.02K","1.09%"
"Apr 18, 2021","16,150.00","16,202.00","16,202.00","15,500.00","0.20K","-2.20%"
"Apr 11, 2021","16,514.00","16,530.00","16,700.00","16,360.00","0.16K","-0.56%"
"Apr 04, 2021","16,607.00","17,245.00","17,387.00","16,426.00","0.25K","-3.24%"
"Mar 28, 2021","17,163.00","17,113.00","17,199.00","17,081.00","0.03K","2.24%"
"Mar 21, 2021","16,787.00","16,800.00","16,920.00","16,650.00","0.11K","0.47%"
"Mar 14, 2021","16,709.00","16,995.00","17,350.00","16,526.00","0.24K","-1.40%"
"Mar 07, 2021","16,946.00","16,462.00","17,040.00","16,462.00","0.25K","2.96%"
"Feb 28, 2021","16,459.00","16,350.00","16,490.00","16,100.00","0.22K","2.10%"
"Feb 21, 2021","16,120.00","16,201.00","16,400.00","16,000.00","0.03K","-0.40%"
"Feb 14, 2021","16,184.00","15,850.00","16,270.00","15,432.00","0.18K","3.20%"
"Feb 07, 2021","15,682.00","15,697.00","15,905.00","15,600.00","0.20K","0.99%"
"Jan 31, 2021","15,529.00","15,390.00","15,550.00","15,100.00","0.19K","2.16%"
"Jan 24, 2021","15,200.00","15,055.00","15,270.00","15,055.00","0.00K","0.46%"
"Jan 17, 2021","15,131.00","15,600.00","15,675.00","15,000.00","0.17K","-2.78%"
"Jan 10, 2021","15,563.00","15,400.00","15,650.00","15,110.00","0.16K","0.92%"
"Jan 03, 2021","15,421.00","15,390.00","15,689.00","15,215.00","0.14K","1.03%"
"Dec 27, 2020","15,264.00","16,000.00","16,273.00","15,200.00","0.29K","19.62%"
"Mar 10, 2019","12,760.00","12,760.00","12,760.00","12,760.00","-","6.33%"
"Mar 03, 2019","12,000.00","12,000.00","12,000.00","12,000.00","-","0.00%"
"Feb 24, 2019","12,000.00","12,000.00","12,000.00","12,000.00","-","0.00%"
"Feb 17, 2019","12,000.00","12,000.00","12,000.00","12,000.00","-","-9.09%"
"Feb 10, 2019","13,200.00","13,200.00","13,200.00","13,200.00","-","0.00%"
"Feb 03, 2019","13,200.00","13,200.00","13,200.00","13,200.00","-","0.00%"
"Jan 27, 2019","13,200.00","13,200.00","13,200.00","13,200.00","-","0.00%"
"Jan 20, 2019","13,200.00","13,200.00","13,200.00","13,200.00","-","0.00%"
"Jan 13, 2019","13,200.00","13,200.00","13,200.00","13,200.00","-","0.00%"
"Jan 06, 2019","13,200.00","13,200.00","13,200.00","13,200.00","-","0.00%"
"Dec 30, 2018","13,200.00","13,200.00","13,200.00","13,200.00","-","0.00%"
"Dec 23, 2018","13,200.00","13,200.00","13,200.00","13,200.00","-","0.00%"
"Dec 16, 2018","13,200.00","13,200.00","13,200.00","13,200.00","-","-0.22%"
"Dec 09, 2018","13,229.00","13,229.00","13,229.00","13,229.00","-","0.00%"
"Dec 02, 2018","13,229.00","13,229.00","13,229.00","13,229.00","-","0.00%"
"Nov 25, 2018","13,229.00","13,229.00","13,229.00","13,229.00","-","0.00%"
"Nov 18, 2018","13,229.00","13,229.00","13,229.00","13,229.00","-","0.00%"
"Nov 11, 2018","13,229.00","12,592.00","12,592.00","12,215.00","0.00K","1.92%"
"Nov 04, 2018","12,980.00","12,980.00","12,980.00","12,980.00","-","0.00%"
"Oct 28, 2018","12,980.00","12,980.00","12,980.00","12,980.00","-","0.00%"
"Oct 21, 2018","12,980.00","12,980.00","12,980.00","12,980.00","-","0.00%"
"Oct 14, 2018","12,980.00","12,950.00","12,950.00","12,950.00","0.00K","2.20%"
"Oct 07, 2018","12,701.00","12,801.00","12,801.00","12,701.00","0.00K","-2.30%"
"Sep 30, 2018","13,000.00","12,940.00","13,000.00","12,940.00","0.00K","0.78%"
"Sep 23, 2018","12,899.00","12,898.00","12,900.00","12,898.00","0.00K","1.01%"
"Sep 16, 2018","12,770.00","12,799.00","12,799.00","12,731.00","0.01K","-2.52%"
"Sep 09, 2018","13,100.00","13,100.00","13,100.00","13,100.00","0.00K","-0.38%"
"Sep 02, 2018","13,150.00","13,299.00","13,300.00","13,150.00","0.01K","-1.13%"
"Aug 26, 2018","13,300.00","13,300.00","13,300.00","13,300.00","0.00K","0.38%"
"Aug 19, 2018","13,250.00","13,105.00","13,325.00","13,105.00","0.00K","0.26%"
