"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2022","2,260.00","2,270.00","2,270.00","2,170.00","0.04K","0.76%"
"Jun 05, 2022","2,243.00","2,200.00","2,200.00","2,200.00","0.01K","1.95%"
"May 29, 2022","2,200.00","2,220.00","2,220.00","2,195.00","0.18K","-2.18%"
"May 22, 2022","2,249.00","2,216.00","2,216.00","2,216.00","0.01K","-0.04%"
"May 15, 2022","2,250.00","2,225.00","2,250.00","2,225.00","0.10K","-0.66%"
"May 08, 2022","2,265.00","2,153.00","2,250.00","2,153.00","0.11K","1.12%"
"May 01, 2022","2,240.00","2,180.00","2,260.00","2,160.00","0.12K","3.46%"
"Apr 24, 2022","2,165.00","2,071.00","2,190.00","2,071.00","0.10K","3.69%"
"Apr 17, 2022","2,088.00","2,301.00","2,301.00","2,301.00","-","-13.65%"
"Apr 10, 2022","2,418.00","2,400.00","2,400.00","2,400.00","0.01K","0.58%"
"Apr 03, 2022","2,404.00","2,320.00","2,320.00","2,320.00","0.01K","-0.08%"
"Mar 27, 2022","2,406.00","2,259.00","2,395.00","2,259.00","-","7.80%"
"Mar 20, 2022","2,232.00","2,300.00","2,300.00","2,300.00","0.03K","-0.09%"
"Mar 13, 2022","2,234.00","2,300.00","2,300.00","2,300.00","0.01K","-2.87%"
"Mar 06, 2022","2,300.00","2,200.00","2,300.00","2,200.00","0.12K","7.98%"
"Feb 27, 2022","2,130.00","1,998.00","2,130.00","1,998.00","0.19K","6.23%"
"Feb 20, 2022","2,005.00","1,984.00","2,005.00","1,984.00","0.14K","-2.20%"
"Feb 13, 2022","2,050.00","1,809.00","1,950.00","1,809.00","0.10K","13.70%"
"Feb 06, 2022","1,803.00","1,951.00","1,960.00","1,750.00","1.47K","-11.14%"
"Jan 30, 2022","2,029.00","1,980.00","2,061.00","1,980.00","0.09K","-1.27%"
"Jan 23, 2022","2,055.00","2,019.00","2,020.00","2,018.00","0.04K","3.89%"
"Jan 16, 2022","1,978.00","1,900.00","1,980.00","1,900.00","0.16K","5.55%"
"Jan 09, 2022","1,874.00","1,801.00","1,885.00","1,801.00","0.32K","4.11%"
"Jan 02, 2022","1,800.00","1,790.00","1,800.00","1,790.00","0.06K","2.92%"
"Dec 26, 2021","1,749.00","1,767.00","1,780.00","1,760.00","0.13K","-2.13%"
"Dec 19, 2021","1,787.00","1,740.00","1,800.00","1,720.00","0.14K","2.70%"
"Dec 12, 2021","1,740.00","1,740.00","1,740.00","1,740.00","0.04K","0.75%"
"Dec 05, 2021","1,727.00","1,735.00","1,737.00","1,730.00","0.04K","-4.43%"
"Nov 28, 2021","1,807.00","1,810.00","1,820.00","1,780.00","0.28K","-0.22%"
"Nov 21, 2021","1,811.00","1,780.00","1,815.00","1,770.00","0.33K","2.61%"
"Nov 14, 2021","1,765.00","1,712.00","1,765.00","1,712.00","-","3.10%"
"Nov 07, 2021","1,712.00","1,712.00","1,712.00","1,712.00","-","-3.98%"
"Oct 31, 2021","1,783.00","1,784.00","1,784.00","1,784.00","-","-0.06%"
"Oct 24, 2021","1,784.00","1,784.00","1,784.00","1,784.00","-","-0.34%"
"Oct 17, 2021","1,790.00","1,790.00","1,790.00","1,790.00","-","-0.67%"
"Oct 10, 2021","1,802.00","1,802.00","1,802.00","1,802.00","-","-1.15%"
"Oct 03, 2021","1,823.00","1,863.00","1,863.00","1,863.00","-","-4.50%"
"Sep 26, 2021","1,909.00","1,909.00","1,909.00","1,909.00","-","0.21%"
"Sep 19, 2021","1,905.00","1,906.00","1,906.00","1,906.00","-","0.21%"
"Sep 12, 2021","1,901.00","1,872.00","1,872.00","1,872.00","-","0.69%"
"Sep 05, 2021","1,888.00","1,863.00","1,863.00","1,863.00","-","1.72%"
"Aug 29, 2021","1,856.00","1,889.00","1,889.00","1,889.00","-","-1.28%"
"Aug 22, 2021","1,880.00","1,855.00","1,855.00","1,855.00","-","0.37%"
"Aug 15, 2021","1,873.00","1,830.00","1,830.00","1,830.00","-","2.52%"
"Aug 08, 2021","1,827.00","1,831.00","1,831.00","1,831.00","-","-0.87%"
"Aug 01, 2021","1,843.00","1,848.00","1,848.00","1,848.00","-","0.77%"
"Jul 25, 2021","1,829.00","1,855.00","1,855.00","1,855.00","-","-1.45%"
"Jul 18, 2021","1,856.00","1,839.00","1,839.00","1,839.00","-","9.18%"
"Jul 11, 2021","1,700.00","1,740.00","1,740.00","1,700.00","0.05K","-8.26%"
"Jul 04, 2021","1,853.00","1,803.00","1,803.00","1,803.00","-","-0.05%"
"Jun 27, 2021","1,854.00","1,780.00","1,900.00","1,780.00","0.10K","8.42%"
"Jun 20, 2021","1,710.00","1,699.00","1,721.00","1,699.00","0.09K","9.62%"
"Jun 13, 2021","1,560.00","1,530.00","1,600.00","1,530.00","0.41K","5.91%"
"Jun 06, 2021","1,473.00","1,525.00","1,525.00","1,445.00","0.11K","-2.00%"
"May 30, 2021","1,503.00","1,530.00","1,530.00","1,530.00","0.27K","-0.07%"
"May 23, 2021","1,504.00","1,520.00","1,530.00","1,520.00","0.25K","0.60%"
"May 16, 2021","1,495.00","1,550.00","1,550.00","1,520.00","0.04K","-1.39%"
"May 09, 2021","1,516.00","1,502.00","1,502.00","1,502.00","-","1.61%"
"May 02, 2021","1,492.00","1,500.00","1,502.00","1,500.00","0.16K","0.61%"
"Apr 25, 2021","1,483.00","1,483.00","1,483.00","1,483.00","-","1.71%"
"Apr 18, 2021","1,458.00","1,489.00","1,489.00","1,489.00","-","-2.08%"
"Apr 11, 2021","1,489.00","1,489.00","1,489.00","1,489.00","-","0.00%"
"Apr 04, 2021","1,489.00","1,489.00","1,489.00","1,489.00","-","0.00%"
"Mar 28, 2021","1,489.00","1,489.00","1,489.00","1,489.00","-","0.00%"
"Mar 21, 2021","1,489.00","1,525.00","1,525.00","1,525.00","-","-2.04%"
