"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 17, 2022","2,373.00","2,251.00","2,251.00","2,251.00","-","7.77%"
"Apr 10, 2022","2,202.00","2,203.00","2,203.00","2,203.00","-","-0.63%"
"Apr 03, 2022","2,216.00","2,217.00","2,217.00","2,217.00","-","-1.73%"
"Mar 27, 2022","2,255.00","2,331.00","2,331.00","2,256.00","-","-2.25%"
"Mar 20, 2022","2,307.00","2,258.00","2,258.00","2,258.00","-","2.12%"
"Mar 13, 2022","2,259.00","2,351.00","2,351.00","2,351.00","-","-3.95%"
"Mar 06, 2022","2,352.00","2,303.00","2,303.00","2,303.00","-","6.14%"
"Feb 27, 2022","2,216.00","2,124.00","2,124.00","2,124.00","-","4.78%"
"Feb 20, 2022","2,115.00","2,112.00","2,112.00","2,112.00","-","-0.47%"
"Feb 13, 2022","2,125.00","2,136.00","2,136.00","2,136.00","-","-1.25%"
"Feb 06, 2022","2,152.00","2,143.00","2,143.00","2,143.00","-","0.37%"
"Jan 30, 2022","2,144.00","2,125.00","2,125.00","2,125.00","-","0.89%"
"Jan 23, 2022","2,125.00","2,121.00","2,121.00","2,121.00","-","-1.02%"
"Jan 16, 2022","2,147.00","2,116.00","2,116.00","2,116.00","-","2.14%"
"Jan 09, 2022","2,102.00","2,133.00","2,133.00","2,133.00","-","-0.05%"
"Jan 02, 2022","2,103.00","2,104.00","2,104.00","2,104.00","-","-0.10%"
"Dec 26, 2021","2,105.00","2,106.00","2,106.00","2,106.00","-","-0.09%"
"Dec 19, 2021","2,107.00","2,100.00","2,100.00","2,100.00","-","-0.24%"
"Dec 12, 2021","2,112.00","2,133.00","2,133.00","2,133.00","-","-1.03%"
"Dec 05, 2021","2,134.00","2,138.00","2,138.00","2,138.00","-","-0.47%"
"Nov 28, 2021","2,144.00","2,140.00","2,140.00","2,140.00","-","1.23%"
"Nov 21, 2021","2,118.00","2,131.00","2,131.00","2,131.00","-","-0.66%"
"Nov 14, 2021","2,132.00","2,133.00","2,133.00","2,133.00","-","-0.33%"
"Nov 07, 2021","2,139.00","2,120.00","2,120.00","2,120.00","-","0.61%"
"Oct 31, 2021","2,126.00","2,127.00","2,127.00","2,127.00","-","0.00%"
"Oct 24, 2021","2,126.00","2,115.00","2,115.00","2,115.00","-","0.81%"
"Oct 17, 2021","2,109.00","2,109.00","2,109.00","2,109.00","-","0.33%"
"Oct 10, 2021","2,102.00","2,102.00","2,102.00","2,102.00","-","1.45%"
"Oct 03, 2021","2,072.00","2,063.00","2,063.00","2,063.00","-","2.47%"
"Sep 26, 2021","2,022.00","2,022.00","2,022.00","2,022.00","-","0.65%"
"Sep 19, 2021","2,009.00","2,024.00","2,024.00","2,024.00","-","0.15%"
"Sep 12, 2021","2,006.00","2,014.00","2,014.00","2,014.00","-","-1.23%"
"Sep 05, 2021","2,031.00","2,013.00","2,013.00","2,013.00","-","3.25%"
"Aug 29, 2021","1,967.00","1,990.00","1,990.00","1,990.00","-","-0.20%"
"Aug 22, 2021","1,971.00","1,934.00","1,934.00","1,934.00","-","4.01%"
"Aug 15, 2021","1,895.00","1,887.00","1,887.00","1,887.00","-","-0.26%"
"Aug 08, 2021","1,900.00","1,907.00","1,907.00","1,907.00","-","-0.16%"
"Aug 01, 2021","1,903.00","1,905.00","1,905.00","1,905.00","-","3.93%"
"Jul 25, 2021","1,831.00","1,778.00","1,778.00","1,778.00","-","2.98%"
"Jul 18, 2021","1,778.00","1,868.00","1,868.00","1,868.00","-","0.00%"
"Jul 11, 2021","1,778.00","1,778.00","1,778.00","1,778.00","-","0.00%"
"Jul 04, 2021","1,778.00","1,775.00","1,780.00","1,775.00","0.23K","2.83%"
"Jun 27, 2021","1,729.00","1,729.00","1,729.00","1,729.00","-","0.00%"
"Jun 20, 2021","1,729.00","1,725.00","1,730.00","1,725.00","0.25K","-1.03%"
"Jun 13, 2021","1,747.00","1,688.00","1,755.00","1,688.00","0.03K","0.40%"
"Jun 06, 2021","1,740.00","1,793.00","1,793.00","1,740.00","0.02K","-2.96%"
"May 30, 2021","1,793.00","1,847.00","1,847.00","1,793.00","0.02K","-2.61%"
"May 23, 2021","1,841.00","1,846.00","1,847.00","1,828.00","0.03K","-1.07%"
"May 16, 2021","1,861.00","1,899.00","1,899.00","1,899.00","-","-2.00%"
"May 09, 2021","1,899.00","1,900.00","1,900.00","1,900.00","-","-0.05%"
"May 02, 2021","1,900.00","1,901.00","1,901.00","1,901.00","-","0.16%"
"Apr 25, 2021","1,897.00","1,897.00","1,897.00","1,897.00","-","-1.25%"
"Apr 18, 2021","1,921.00","1,915.00","1,915.00","1,915.00","-","1.05%"
"Apr 11, 2021","1,901.00","1,841.00","1,841.00","1,841.00","-","3.26%"
"Apr 04, 2021","1,841.00","1,841.00","1,841.00","1,841.00","0.01K","-0.59%"
"Mar 28, 2021","1,852.00","1,852.00","1,852.00","1,852.00","0.01K","-0.70%"
"Mar 21, 2021","1,865.00","1,851.00","1,865.00","1,851.00","0.26K","2.64%"
"Mar 14, 2021","1,817.00","1,809.00","1,809.00","1,809.00","-","0.83%"
"Mar 07, 2021","1,802.00","1,795.00","1,795.00","1,795.00","-","-0.83%"
"Feb 28, 2021","1,817.00","1,804.00","1,804.00","1,804.00","-","1.11%"
"Feb 21, 2021","1,797.00","1,807.00","1,807.00","1,807.00","-","-0.28%"
"Feb 14, 2021","1,802.00","1,783.00","1,783.00","1,783.00","-","0.39%"
"Feb 07, 2021","1,795.00","1,817.00","1,817.00","1,817.00","-","-0.99%"
"Jan 31, 2021","1,813.00","1,833.00","1,833.00","1,833.00","-","-0.33%"
"Jan 24, 2021","1,819.00","1,839.00","1,839.00","1,839.00","-","-1.68%"
"Jan 17, 2021","1,850.00","1,864.00","1,864.00","1,864.00","-","-0.05%"
"Jan 10, 2021","1,851.00","1,827.00","1,827.00","1,827.00","-","1.54%"
"Jan 03, 2021","1,823.00","1,789.00","1,789.00","1,789.00","-","3.93%"
"Dec 27, 2020","1,754.00","1,744.00","1,744.00","1,744.00","-","1.21%"
"Dec 20, 2020","1,733.00","1,722.00","1,722.00","1,722.00","-","0.46%"
"Dec 13, 2020","1,725.00","1,733.00","1,733.00","1,733.00","-","-0.46%"
"Dec 06, 2020","1,733.00","1,741.00","1,741.00","1,741.00","-","-0.35%"
"Nov 29, 2020","1,739.00","1,761.00","1,761.00","1,761.00","-","-1.86%"
"Nov 22, 2020","1,772.00","1,770.00","1,770.00","1,770.00","-","0.51%"
"Nov 15, 2020","1,763.00","1,772.00","1,772.00","1,772.00","-","-0.56%"
"Nov 08, 2020","1,773.00","1,769.00","1,769.00","1,769.00","-","0.28%"
"Nov 01, 2020","1,768.00","1,781.00","1,781.00","1,781.00","-","-0.45%"
"Oct 25, 2020","1,776.00","1,774.00","1,774.00","1,774.00","-","0.17%"
"Oct 18, 2020","1,773.00","1,745.00","1,745.00","1,745.00","-","1.90%"
"Oct 11, 2020","1,740.00","1,718.00","1,718.00","1,718.00","-","0.87%"
"Oct 04, 2020","1,725.00","1,733.00","1,733.00","1,733.00","-","0.00%"
"Sep 27, 2020","1,725.00","1,738.00","1,738.00","1,738.00","-","-0.69%"
"Sep 20, 2020","1,737.00","1,756.00","1,756.00","1,756.00","-","-0.74%"
"Sep 13, 2020","1,750.00","1,748.00","1,748.00","1,748.00","-","-0.51%"
"Sep 06, 2020","1,759.00","1,768.00","1,768.00","1,768.00","-","-0.45%"
"Aug 30, 2020","1,767.00","1,777.00","1,777.00","1,777.00","-","-0.39%"
"Aug 23, 2020","1,774.00","1,802.00","1,802.00","1,802.00","-","-1.61%"
"Aug 16, 2020","1,803.00","1,801.00","1,801.00","1,801.00","-","-1.74%"
"Aug 09, 2020","1,835.00","1,845.00","1,845.00","1,845.00","-","-0.16%"
